freq_energy,cross_sect
420.0,9.087221973706967e-17
420.1,9.107668458780723e-17
420.20000000000005,9.128183822463208e-17
420.30000000000007,9.14876837354221e-17
420.4000000000001,9.169422422532537e-17
420.5000000000001,9.190146281687581e-17
420.60000000000014,9.210940265010968e-17
420.70000000000016,9.231804688268329e-17
420.8000000000002,9.252739868999109e-17
420.9000000000002,9.273746126528531e-17
421.0000000000002,9.294823781979599e-17
421.10000000000025,9.315973158285232e-17
421.2000000000003,9.337194580200479e-17
421.3000000000003,9.358488374314822e-17
421.4000000000003,9.379854869064598e-17
421.50000000000034,9.401294394745496e-17
421.60000000000036,9.42280728352516e-17
421.7000000000004,9.44439386945591e-17
421.8000000000004,9.466054488487524e-17
421.90000000000043,9.487789478480165e-17
422.00000000000045,9.509599179217374e-17
422.1000000000005,9.53148393241919e-17
422.2000000000005,9.553444081755367e-17
422.3000000000005,9.575479972858688e-17
422.40000000000055,9.597591953338398e-17
422.50000000000057,9.619780372793729e-17
422.6000000000006,9.642045582827554e-17
422.7000000000006,9.664387937060125e-17
422.80000000000064,9.686807791142939e-17
422.90000000000066,9.70930550277271e-17
423.0000000000007,9.731881431705452e-17
423.1000000000007,9.754535939770666e-17
423.2000000000007,9.777269390885662e-17
423.30000000000075,9.800082151069973e-17
423.4000000000008,9.822974588459908e-17
423.5000000000008,9.845947073323191e-17
423.6000000000008,9.868999978073755e-17
423.70000000000084,9.892133677286626e-17
423.80000000000086,9.915348547712949e-17
423.9000000000009,9.938644968295102e-17
424.0000000000009,9.962023320181988e-17
424.10000000000093,9.985483986744388e-17
424.20000000000095,1.0009027353590488e-16
424.300000000001,1.0032653808581504e-16
424.400000000001,1.0056363741847445e-16
424.500000000001,1.0080157545803003e-16
424.60000000000105,1.0104035615163565e-16
424.70000000000107,1.0127998346961377e-16
424.8000000000011,1.0152046140561816e-16
424.9000000000011,1.0176179397679799e-16
425.00000000000114,1.0200398522396338e-16
425.10000000000116,1.0224703921175235e-16
425.2000000000012,1.0249096002879882e-16
425.3000000000012,1.0273575178790238e-16
425.4000000000012,1.0298141862619922e-16
425.50000000000125,1.0322796470533448e-16
425.6000000000013,1.0347539421163624e-16
425.7000000000013,1.0372371135629055e-16
425.8000000000013,1.039729203755183e-16
425.90000000000134,1.0422302553075333e-16
426.00000000000136,1.0447403110882205e-16
426.1000000000014,1.0472594142212467e-16
426.2000000000014,1.049787608088177e-16
426.30000000000143,1.0523249363299817e-16
426.40000000000146,1.0548714428488934e-16
426.5000000000015,1.0574271718102791e-16
426.6000000000015,1.0599921676445278e-16
426.7000000000015,1.0625664750489549e-16
426.80000000000155,1.0651501389897209e-16
426.90000000000157,1.0677432047037682e-16
427.0000000000016,1.0703457177007717e-16
427.1000000000016,1.072957723765109e-16
427.20000000000164,1.0755792689578425e-16
427.30000000000166,1.0782103996187232e-16
427.4000000000017,1.0808511623682081e-16
427.5000000000017,1.0835016041094955e-16
427.6000000000017,1.0861617720305779e-16
427.70000000000175,1.0888317136063111e-16
427.8000000000018,1.0915114766005031e-16
427.9000000000018,1.0942011090680168e-16
428.0000000000018,1.096900659356895e-16
428.10000000000184,1.0996101761105005e-16
428.20000000000186,1.1023297082696746e-16
428.3000000000019,1.105059305074916e-16
428.4000000000019,1.1077990160685749e-16
428.50000000000193,1.1105488910970692e-16
428.60000000000196,1.1133089803131183e-16
428.700000000002,1.1160793341779936e-16
428.800000000002,1.1188600034637937e-16
428.900000000002,1.121651039255733e-16
429.00000000000205,1.1244524929544547e-16
429.10000000000207,1.1272644162783608e-16
429.2000000000021,1.1300868612659637e-16
429.3000000000021,1.1329198802782565e-16
429.40000000000214,1.135763526001106e-16
429.50000000000216,1.1386178514476637e-16
429.6000000000022,1.1414829099607998e-16
429.7000000000022,1.1443587552155573e-16
429.8000000000022,1.1472454412216265e-16
429.90000000000225,1.1501430223258442e-16
430.0000000000023,1.153051553214709e-16
430.1000000000023,1.1559710889169248e-16
430.2000000000023,1.158901684805961e-16
430.30000000000234,1.16184339660264e-16
430.40000000000236,1.164796280377741e-16
430.5000000000024,1.1677603925546346e-16
430.6000000000024,1.170735789911932e-16
430.70000000000243,1.173722529586164e-16
430.80000000000246,1.17672066907448e-16
430.9000000000025,1.179730266237371e-16
431.0000000000025,1.1827513793014185e-16
431.1000000000025,1.185784066862065e-16
431.20000000000255,1.1888283878864102e-16
431.30000000000257,1.1918844017160333e-16
431.4000000000026,1.1949521680698352e-16
431.5000000000026,1.1980317470469131e-16
431.60000000000264,1.2011231991294547e-16
431.70000000000266,1.20422658518566e-16
431.8000000000027,1.2073419664726892e-16
431.9000000000027,1.2104694046396383e-16
432.00000000000273,1.2136089617305364e-16
432.10000000000275,1.2167607001873755e-16
432.2000000000028,1.2199246828531637e-16
432.3000000000028,1.223100972975006e-16
432.4000000000028,1.226289634207214e-16
432.50000000000284,1.2294907306144426e-16
432.60000000000286,1.2327043266748543e-16
432.7000000000029,1.2359304872833127e-16
432.8000000000029,1.2391692777546043e-16
432.90000000000293,1.24242076382669e-16
433.00000000000296,1.2456850116639836e-16
433.100000000003,1.248962087860664e-16
433.200000000003,1.2522520594440127e-16
433.300000000003,1.2555549938777837e-16
433.40000000000305,1.258870959065605e-16
433.50000000000307,1.2622000233544089e-16
433.6000000000031,1.2655422555378939e-16
433.7000000000031,1.2688977248600188e-16
433.80000000000314,1.2722665010185278e-16
433.90000000000316,1.2756486541685087e-16
434.0000000000032,1.279044254925981e-16
434.1000000000032,1.2824533743715213e-16
434.20000000000323,1.285876084053916e-16
434.30000000000325,1.2893124559938537e-16
434.4000000000033,1.2927625626876455e-16
434.5000000000033,1.2962264771109838e-16
434.6000000000033,1.2997042727227338e-16
434.70000000000334,1.3031960234687605e-16
434.80000000000337,1.306701803785788e-16
434.9000000000034,1.3102216886053005e-16
435.0000000000034,1.3137557533574742e-16
435.10000000000343,1.3173040739751457e-16
435.20000000000346,1.32086672689782e-16
